-0.36008,-0.02233,-0.0297,-0.009821,-0.2843,4.81,2,5
-0.26782,-0.020174,-0.026832,-0.10445,-0.25685,5.8135,0,0
-0.51263,-2.1359,-0.0010773,-0.003167,-0.010313,0.21755,1,4
-25086,-1.747,-0.0058108,-0.79807,-5.3037,66.374,1,2
-2.3161e+05,-0.0050565,-2.2039,-0.025379,-0.064378,18.895,1,2
-1.6635,-0.62382,-0.019484,-0.34691,-0.18651,4.2169,1,2
-1.5935,-0.67811,-0.018823,-0.33497,-0.71084,5.1687,1,2
-116.06,-1.4235,-1.4299,-0.17096,-0.36409,2.6607,1,2
-5.7763,-0.56788,-0.01581,-0.28051,-5.2183,5.6102,1,2
-0.73476,-0.75118,-0.0041557,-0.80601,-1.3001,1.4315,1,2
-7.5517,-1.544,-0.0020442,-0.365,-0.59022,23.861,1,2
-9.1307e+06,-1.7038,-0.70777,-0.27614,-3.5788,27.492,1,2
-15.31,-1.7747,-1.0211,-0.58127,-0.38366,22.329,3,10
-6.3907e+21,-0.38041,-0.00072727,-0.089964,-16.605,37.729,1,2
-10.316,-0.1021,-2.7088,-0.93942,-0.041604,42.092,3,10
-1.195e+05,-0.02118,-2.8607,-0.97165,-6.0649,17.466,1,2
-1.4732e+27,-0.031884,-2.8406,-0.29202,-18.26,56.961,1,2
-23.558,-1.8346,-2.8667,-0.97293,-0.0095944,29.242,3,10
-10.424,-0.10162,-2.7097,-0.9396,-0.097426,42.226,3,10
-1.6595e+05,-0.020591,-0.54181,-0.97189,-7.119,37.977,1,2
-1.1907e+09,-0.013539,-2.875,-0.9747,-9.1198,24.709,1,2
-42.724,-0.04981,-2.8069,-0.45731,-0.02171,39.198,1,2
-2.5825e+06,-0.97748,-2.7886,-0.95635,-5.3799,35.788,1,2
-4.7593,-0.010405,-0.271,-0.97594,-0.75094,25.809,4,11
-55.163,-0.89481,-1.3329,-0.58179,-2.3489,21.622,1,2
-14.67,-1.2012,-1.02,-0.44522,-1.7981,19.263,1,2
-8.0517e+08,-1.8496,-0.3581,-0.79235,-14.426,11.409,1,2
-3.3907e+06,-0.9743,-1.3753,-0.36111,-3.8335,22.948,1,2
-35636,-2.1295,-2.7672,-0.03153,-0.12961,5.9958,1,2
-1.4477e+10,-1.7114,-1.9803,-0.71837,-9.9866,19.886,1,2
-7.9146,-0.78001,-0.66238,-0.63278,-1.1685,20.057,3,10
-6.3378,-0.61802,-0.52483,-0.50135,-0.92631,21.011,3,10
