-0.95326,0.5,0.1,1,0,0
-1.1594,17.098,9.1424,0.095758,2,5
-18.899,0.026034,0.0052068,21.856,0,0
-1.1582,0.25974,4.9052,9.879,0,0
-18.899,0.10786,0.021571,64.707,0,0
-0.22027,31.674,0.0075347,34.298,2,5
-0.0054587,38.862,3.9268,49.757,2,5
-0.013402,39.217,3.8019,51.356,2,5
-0.34,28.162,1.1609,71,1,1
-0.34951,36.494,0.71834,69.879,2,5
-0.3566,37.232,0.64408,70.128,2,5
-0.13327,43.005,7.1689,52.251,2,3
-0.20759,46.491,3.5967,35.15,3,7
-0.1867,10.701,9.2958,42.408,0,0
-0.57624,11.937,9.9713,84.202,0,0
-1.1596,1.7086,1.4815,21.478,0,0
-0.1704,11.496,0.96335,33.103,0,0
-0.88399,6.0572,0.50788,37.802,0,0
-0.05825,44.608,8.4279,43.175,2,3
-0.47022,36.071,9.026,52.037,1,1
-0.10036,24.746,1.8619,44.961,1,1
-0.060834,44.221,8.4466,43.127,2,3
-0.45931,30.089,9.2676,36.134,3,6
-0.046225,37.815,2.8809,48.606,2,5
-0.054494,40.605,2.4083,43.399,3,7
-0.031497,17.314,9.9725,50.978,0,0
-1.5336,0.66452,7.8045,37.732,0,0
-1.0739,2.2135,7.9899,38.967,0,0
-1.7924,1.2608,5.7076,48.167,0,0
-1.1498,1.913,7.5041,37.836,0,0
-0.036587,6.6522,8.5169,17.973,0,0
-0.69893,12.875,5.0952,18.38,3,6
-0.5032,11.866,3.8728,14.921,3,6
-0.48542,7.8074,0.21477,22.255,1,1
-0.11992,7.4131,0.022366,6.5401,3,7
-0.39316,6.8511,0.014039,12.241,2,5
-0.055714,6.5815,0.51679,0.55236,3,7
-0.048597,7.2621,0.42962,0.46071,3,7
-1.0733,13.854,8.165,9.3885,2,5
-2.1777,4.7613,4.957,0.15117,1,2
-2.3712,4.4903,5.3661,0.99219,1,2
-0.89833,9.7065,4.4486,0.088099,3,6
-0.15039,1.7743,5.122,1.587,1,2
-1.5747,11.699,8.1568,0.22392,1,2
-0.85605,0.8009,7.8057,2.7586,1,2
-1.8343,2.9484,2.7104,0.85784,1,2
-1.0089,4.2651,2.2479,0.7131,2,5
-0.0060943,0.33141,1.0084,0.063872,1,2
-11.916,0.01161,0.021402,6.6209,0,0
-0.00019435,0.13723,0.40911,0.031824,1,2
-0.72386,0.10791,1.5203,1.0139,0,0
-0.47886,0.055645,0.7487,0.50404,0,0
-0.47433,0.054166,0.72685,0.57649,0,0
-0.96719,5.9195,2.9274,0.39429,3,6
-0.061237,5.6067,8.8619,0.75817,1,2
-1.268,0.21847,8.6358,2.4634,1,2
-1.8653,0.029514,9.8433,0.29173,1,2
-2.8035,2.7342,4.4494,0.97913,1,2
-1.7348,0.078913,9.342,0.85948,1,2
-0.36021,2.5204,9.7898,6.2836,1,2
-0.40529,2.4463,9.7963,6.1762,1,2
-0.37509,2.5206,9.5397,10.434,1,2
-0.15209,3.0934,9.8283,6.3935,1,2
-0.2158,2.5252,9.9124,4.9879,1,2
-0.10997,3.8083,9.9537,4.9893,1,2
-0.12625,3.6295,9.957,4.8317,1,2
-0.53268,2.0244,9.9871,6.2625,1,2
-0.16467,2.9669,9.9955,7.9951,1,2
-2.642,5.8026,9.5788,7.5302,1,2
-2.431,4.8221,7.11,6.7868,1,2
