-0.004427,1,1,0,0
-2.4306e+14,29.134,96.961,1,2
-2.5866,6.9525,0.72429,1,5
-4.6925e+12,68.803,53.475,1,2
-44.932,65.938,0.20772,0,0
-8.7063e+13,59.512,77.319,1,2
-81.851,94.861,0.039831,1,5
-2.7907e+13,95.772,63.348,1,2
-66.932,82.319,0.068121,1,5
-63.568,77.439,0.062476,1,5
-8904.9,84.593,4.2492,1,2
-47.437,55.774,0.042453,1,5
-2.6351e+11,94.365,37.866,1,2
-1.4952e+12,42.733,49.692,1,2
-860.62,7.2012,4.3932,1,2
-1.0524e+12,55.567,46.371,1,2
-4.5645e+11,47.064,43.185,1,2
-1.8256e+11,74.534,37.41,1,2
-40.279,46.617,0.034096,1,5
-70.437,76.342,0.014475,1,5
-75.017,80.993,0.013595,1,5
-81.656,87.677,0.012331,1,5
-3.3259e+08,98.426,16.673,1,2
-1.9425e+06,88.224,8.9928,1,2
-65.085,69.949,0.011687,1,5
-5.1202e+09,77.412,26.728,1,2
-64.862,69.57,0.011118,1,5
-5.2716e+06,46.898,10.627,1,2
-1.1668e+07,48.797,11.59,1,2
-1.0641e+09,78.529,20.753,1,2
-3.5201e+08,58.263,18.255,1,2
-8.4231e+08,71.324,20.326,1,2
-3.3063e+08,62.14,17.901,1,2
-1.9075e+08,79.02,15.802,1,2
-2.4621e+08,65.361,16.979,1,2
-62.643,67.188,0.010955,1,5
-13926,52.17,4.8483,1,2
-2.6301e+06,55.742,9.688,1,2
-62.749,67.283,0.010883,1,5
-60.805,65.182,0.010671,1,5
-58.104,62.195,0.010065,1,5
