-2.3364,41.76,65.58,3.87,0,0
-17.404,58.358,122.19,0.33877,0,0
0.016129,1.7785,39.187,24.726,3,10
0.038708,54.332,13.572,38.101,3,10
-0.46664,47.449,91.587,15.729,2,5
0.038775,56.178,15.429,38.123,3,10
-0.0082482,77.809,64.595,38.56,2,5
-0.67629,39.433,31.647,11.209,2,5
-0.55604,21.384,17.978,1.9821,0,0
-0.84311,21.825,17.359,3.2469,0,0
-0.43424,17.748,24.389,9.8721,2,5
0.031939,15.881,14.149,30.322,3,10
0.033664,22.804,11.85,30.804,3,10
0.033945,15.043,11.786,33.492,3,10
0.035341,18.897,9.4456,34.82,3,10
0.034666,20.072,29.378,38.542,3,10
0.0051607,3.0135,1.51,14.937,3,10
0.031851,12.311,0.98384,23.254,3,10
