-0.090935,50,2,0.5,50,1,2,0,0
-0.1026,54.453,7.013,0.37468,57.14,3.5065,1.4987,0,0
-0.12431,95.661,16.405,0.13987,88.726,8.2025,1.1954,0,0
-0.17127,92.493,19.458,4.2667,124.89,9.7288,0.35018,0,0
-0.23349,112.98,18.943,3.5713,77.979,9.4716,0.4926,0,0
-0.099042,91.355,2.568,0.22529,107.08,9.9737,0.21457,0,0
-0.15591,60.335,1.4082,0.13944,112.86,9.9866,0.20743,0,0
-0.11916,62.657,3.6206,0.71783,109.67,9.9882,0.20655,0,0
-0.11474,62.602,7.7989,0.54747,112.67,8.1637,5.2558,0,0
-0.15633,62.726,9.6205,1.2122,118.54,8.4379,4.501,0,0
-0.089898,72.585,7.7684,1.9569,117.73,8.745,3.6554,0,0
-0.21746,51.456,14.492,0.90862,114.82,9.4349,7.9868,0,0
-0.11507,71.293,8.4283,2.121,117.34,8.8127,3.469,0,0
-0.10404,76.282,11.892,1.314,118.69,8.3227,2.4905,0,0
-0.089948,94.137,4.2445,3.4407,107.12,9.4198,0.99234,0,0
-0.089981,95.739,6.6453,3.0203,102.49,7.9997,3.8887,1,1
-0.089948,94.144,4.3175,3.425,107.11,9.3766,1.0804,0,0
-0.090025,100.66,11.042,1.9779,103.41,7.265,9.1925,0,0
-0.11618,78.13,2.0206,1.5763,94.815,9.7388,3.1922,1,1
-0.090017,82.882,3.4962,1.2101,94.911,8.6348,2.4743,1,1
-0.090085,73.056,0.38199,0.11405,88.605,0.57123,13.87,1,3
-0.090114,72.826,0.31106,2.0183,87.725,0.38757,16.259,1,3
-0.090099,72.657,0.30442,1.9006,89.179,0.9622,16.436,1,3
-0.090183,67.38,0.23664,3.9125,81.059,0.40253,7.6018,1,3
-0.12012,77.819,0.23271,3.9999,83.738,7.1691,5.2857,0,0
-0.24221,75.749,3.6498,4.4868,76.829,8.5472,9.3664,0,0
-0.26949,73.669,1.427,4.707,77.319,9.4833,16.218,0,0
-0.15854,79.833,3.2334,1.8081,86.677,9.8049,17.55,0,0
-0.14394,80.43,2.6426,1.4657,86.344,8.5901,18.028,0,0
-0.13289,78.231,1.5918,0.85666,85.47,7.3444,18.876,0,0
-0.090153,74.876,6.6457,2.5501,84.746,4.3835,17.475,0,0
-0.09013,75.847,5.727,3.2769,86.125,3.1127,14.14,0,0
-0.090141,75.762,5.673,3.279,85.614,3.0357,14.311,0,0
-0.090233,77.395,5.5988,4.0831,79.209,2.7391,17.344,0,0
-0.093381,62.976,5.1868,4.9793,93.6,0.13621,9.9947,0,0
